Member ID,Product Code
1854412945,cjuuci2p893353
1854451595,cjuuci2p893353
1854500703,cjuuci2p893353
1854503910,cjuuci2p893353
1854508548,cjuuci2p893353
1854609432,cjuuci2p893353
1854665517,cjuuci2p893353
1854773347,cjuuci2p893353
1855227163,cjuuci2p893353
1855448235,cjuuci2p893353
1856318248,cjuuci2p893353
1856618517,cjuuci2p893353
1856927991,cjuuci2p893353
1857192580,cjuuci2p893353
1857423737,cjuuci2p893353
1860349957,cjuuci2p893353
1860595748,cjuuci2p893353
1860614123,cjuuci2p893353
1860992952,cjuuci2p893353
1861156346,cjuuci2p893353
1861700348,cjuuci2p893353
1862517901,cjuuci2p893353
1862843462,cjuuci2p893353
1863039673,cjuuci2p893353
1863044784,cjuuci2p893353
1863285897,cjuuci2p893353
1864424913,cjuuci2p893353
1864491930,cjuuci2p893353
1865744818,cjuuci2p893353
1865918032,cjuuci2p893353
1865973925,cjuuci2p893353
1866013613,cjuuci2p893353
1867082603,cjuuci2p893353
1867752008,cjuuci2p893353
1875368001,cjuuci2p893353
1876265654,cjuuci2p893353
1876735102,cjuuci2p893353
1876962069,cjuuci2p893353
1877028570,cjuuci2p893353
1877070688,cjuuci2p893353
1877095061,cjuuci2p893353
1877326958,cjuuci2p893353
1877842624,cjuuci2p893353
1878300616,cjuuci2p893353
1878840234,cjuuci2p893353
1879482118,cjuuci2p893353
1881755760,cjuuci2p893353
1882045456,cjuuci2p893353
1882657418,cjuuci2p893353
1882664786,cjuuci2p893353
1883255400,cjuuci2p893353
1883529027,cjuuci2p893353
1883711223,cjuuci2p893353
1884608750,cjuuci2p893353
1885347966,cjuuci2p893353
1887211651,cjuuci2p893353
1887351413,cjuuci2p893353
1887356878,cjuuci2p893353
1887620434,cjuuci2p893353
1888170286,cjuuci2p893353
1888294758,cjuuci2p893353
1888569189,cjuuci2p893353
1888621970,cjuuci2p893353
1888741407,cjuuci2p893353
1889095858,cjuuci2p893353
1889416865,cjuuci2p893353
1889467641,cjuuci2p893353
1889712697,cjuuci2p893353
1889794467,cjuuci2p893353
1890597368,cjuuci2p893353
1891033811,cjuuci2p893353
1891211417,cjuuci2p893353
1891369638,cjuuci2p893353
1891406227,cjuuci2p893353
1891551700,cjuuci2p893353
1892774900,cjuuci2p893353
1892778444,cjuuci2p893353
1892843966,cjuuci2p893353
1892976630,cjuuci2p893353
1893105171,cjuuci2p893353
1893364197,cjuuci2p893353
1893718997,cjuuci2p893353
1893786456,cjuuci2p893353
1894082722,cjuuci2p893353
1894097997,cjuuci2p893353
1894263533,cjuuci2p893353
1894497363,cjuuci2p893353
1894504005,cjuuci2p893353
1894623697,cjuuci2p893353
1894791254,cjuuci2p893353
1895063501,cjuuci2p893353
1895235301,cjuuci2p893353
1895387864,cjuuci2p893353
1896130720,cjuuci2p893353
1897012158,cjuuci2p893353
1897349005,cjuuci2p893353
1897499847,cjuuci2p893353
1897657667,cjuuci2p893353
1898209243,cjuuci2p893353
1898373724,cjuuci2p893353
1898474996,cjuuci2p893353
1898654568,cjuuci2p893353
1899017179,cjuuci2p893353
1899382766,cjuuci2p893353
1899430033,cjuuci2p893353
1900011990,cjuuci2p893353
1900115224,cjuuci2p893353
1900266625,cjuuci2p893353
1900414328,cjuuci2p893353
1900429792,cjuuci2p893353
1900655126,cjuuci2p893353
1900664101,cjuuci2p893353
1900682418,cjuuci2p893353
1901032763,cjuuci2p893353
1901193963,cjuuci2p893353
1901195056,cjuuci2p893353
1901311915,cjuuci2p893353
1901340405,cjuuci2p893353
1901832116,cjuuci2p893353
1902172210,cjuuci2p893353
1902334924,cjuuci2p893353
1902448062,cjuuci2p893353
1902447688,cjuuci2p893353
1902459842,cjuuci2p893353
1902466396,cjuuci2p893353
1902594169,cjuuci2p893353
1903173978,cjuuci2p893353
1903240980,cjuuci2p893353
1903295212,cjuuci2p893353
1903329304,cjuuci2p893353
1903449893,cjuuci2p893353
1903523398,cjuuci2p893353
1903625764,cjuuci2p893353
1903936591,cjuuci2p893353
1904012891,cjuuci2p893353
1904134779,cjuuci2p893353
1904258505,cjuuci2p893353
1904264764,cjuuci2p893353
1904275800,cjuuci2p893353
1904327413,cjuuci2p893353
1904333682,cjuuci2p893353
1904396051,cjuuci2p893353
1904912821,cjuuci2p893353
1904943229,cjuuci2p893353
1905025428,cjuuci2p893353
1853427777,cjuuci3p893354
1858054712,cjuuci3p893354
1862266646,cjuuci3p893354
1866123020,cjuuci3p893354
1883918770,cjuuci3p893354
1889431299,cjuuci3p893354
1863476889,cjuuci2p893353
1865353789,cjuuci2p893353
1865734922,cjuuci2p893353
1882323934,cjuuci2p893353
1882970554,cjuuci2p893353
1889063822,cjuuci2p893353
1889619641,cjuuci2p893353
1890306821,cjuuci2p893353
1891963273,cjuuci2p893353
1893094556,cjuuci2p893353
1893278637,cjuuci2p893353
1893624731,cjuuci2p893353
1896767617,cjuuci2p893353
1897015114,cjuuci2p893353
1897318883,cjuuci2p893353
1897637710,cjuuci2p893353
1898338197,cjuuci2p893353
1898490851,cjuuci2p893353
1898640926,cjuuci2p893353
1898699671,cjuuci2p893353
1898739699,cjuuci2p893353
1898770061,cjuuci2p893353
1898904547,cjuuci2p893353
1898972755,cjuuci2p893353
1898988912,cjuuci2p893353
1899116612,cjuuci2p893353
1899160390,cjuuci2p893353
1899190674,cjuuci2p893353
1899430833,cjuuci2p893353
1899462941,cjuuci2p893353
1899845819,cjuuci2p893353
1900196132,cjuuci2p893353
1900464043,cjuuci2p893353
1900473350,cjuuci2p893353
1900759669,cjuuci2p893353
1901072992,cjuuci2p893353
1901637571,cjuuci2p893353
1902343225,cjuuci2p893353
1902346069,cjuuci2p893353
1902440876,cjuuci2p893353
1902994514,cjuuci2p893353
1903466253,cjuuci2p893353
1904051397,cjuuci2p893353
1904247360,cjuuci2p893353
1904591493,cjuuci2p893353
1905044687,cjuuci2p893353
1905123371,cjuuci2p893353
1887483729,cjuuci3p893354
1891534252,cjuuci3p893354
1852715861,cjuuci4p893355
1853827507,cjuuci4p893355
